payment_id,booking_id,amount,payment_method,_ingested_at,_source_file,_is_valid,_ingestion_errors
PAY1766,B1923,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1778,B1576,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1817,B1367,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1832,B1173,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1838,B1241,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1850,B1369,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1852,B1151,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1890,B1272,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1897,B1106,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1921,B1514,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1922,B1192,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1925,B1872,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1949,B1376,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1961,B1585,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1981,B1324,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1992,B1997,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
